claim_uid,file_num,data_set,cont_num,proc_unit,plan_num,claim_type,line_code,coverage_code,pay_cat,claim_open,date_event,date_open,date_close,date_v1m_xmit,clmnt_ssn,clmnt_dob,clmnt_gender,clmnt_country,clmnt_state,pay_code,pay_type,paid_1,paid_3,amount,state_juris,our_cause_2,our_cause_3,our_cause_4,date_rpted_cms,days_to_cms,reserve_3,reserve_6,reserve_status,is_v1m_extracted,excl_reason
1000018.347,21WC793655,WC,2129,66,3652,MO,WC,,CM,True,07/01/2023,07/05/2023,,,999999999,10/26/1976,F,USA,WA,341,SYS,41536.55,8666.29,8828.15,12,REPETIT,CONCUSS,NECK,11/09/2023,127.0,43933.8,3425.34,A,1,
1000019.556,22WC300337,WC,4955,94,2664,OT,WC,LT,PI,False,05/05/2023,05/26/2023,09/25/2024,,227523987,06/16/1948,F,USA,WV,345,MAN,22687.26,30662.3,2382.33,53,STRAIN,SPRAIN,KNEE,11/09/2023,167.0,0.0,0.0,,0,coverage_code
1000020.951,23WC294143,WC,4546,96,2983,MO,GR,ZE,CM,True,11/19/2023,12/09/2023,,01/27/2024,370234953,03/09/1947,M,GBR,VT,390,MAN,43423.06,49087.87,8739.93,26,STRUCK,RUPTURE,WRIST,04/29/2024,142.0,17276.47,1060.93,A,0,coverage_code|line_code
1000021.401,18WC705050,GL,1878,20,1611,OT,WC,,PI,False,05/01/2019,05/19/2019,02/27/2021,,795676233,05/28/1944,F,USA,SC,378,SYS,47379.51,20778.79,2189.15,,,,,,,0.0,0.0,,1,
1000022.157,19WC678805,WC,3565,1,2673,MO,ZE,ZE,MP,True,04/07/2021,04/09/2021,,,465103825,07/04/1971,M,USA,LA,309,SYS,8296.14,30761.18,7514.68,26,STRUCK,RUPTURE,KNEE,09/05/2021,149.0,118721.76,11798.51,A,0,coverage_code|line_code
1000023.598,21WC870214,WC,5103,4,1374,MO,ZE,ZE,OT,False,03/26/2018,04/20/2018,02/19/2019,,180618503,03/19/1938,F,USA,NY,390,SYS,17398.05,33330.84,6734.32,47,MVA,SPRAIN,ANKLE,09/23/2018,156.0,0.0,0.0,,0,coverage_code|line_code
1000024.288,21WC953085,PF,1601,59,1360,MO,WC,,BI,True,07/14/2022,08/11/2022,,,556606771,06/20/1946,F,USA,WI,106,SYS,46383.64,43811.61,7012.68,,,,,,,0.0,0.0,,1,
1000025.973,22WC938141,WC,3595,40,3256,MO,WC,,BI,False,07/09/2020,08/05/2020,12/20/2021,,158644782,07/27/1938,F,CAN,NJ,349,SYS,46093.41,50824.09,8805.33,47,LIFT,SURGERY,ANKLE,11/30/2020,117.0,0.0,0.0,,0,no_rre
1000026.508,24WC102689,WC,5892,77,3375,OT,WC,,MP,True,06/07/2023,06/19/2023,,,330253913,07/02/1937,F,USA,VA,390,SYS,19303.94,66368.88,8225.4,36,REPETIT,FRACT,SHOULDER,11/24/2023,158.0,0.0,0.0,,0,no_rre
1000027.332,18WC986088,WC,2634,69,4729,MO,WC,LT,PI,False,08/07/2022,09/04/2022,03/11/2023,06/02/2023,710511316,07/11/1993,F,USA,AZ,330,MAN,34219.98,28737.9,2352.11,48,SLIP,STRAIN,KNEE,01/25/2023,143.0,0.0,0.0,,0,coverage_code
1000028.166,20WC130353,WC,6315,8,2201,MO,WC,,PI,True,09/27/2020,10/14/2020,,,180119986,08/19/1974,M,USA,SD,132,MAN,469.87,80463.31,9021.97,06,BURN,CONTUS,KNEE,03/06/2021,143.0,20783.46,1667.09,P,0,no_rre
1000029.853,18WC348728,WC,6882,75,2211,OT,WC,,CM,True,06/10/2022,06/19/2022,,,051788139,04/20/1977,F,USA,IL,386,HIS,36046.42,65918.15,8399.54,06,LIFT,FRACT,HEAD,11/08/2022,142.0,0.0,0.0,,1,
1000030.131,20WC442589,PF,7808,23,1822,MO,WC,,OT,True,08/18/2023,09/17/2023,,05/20/2024,937532886,04/28/1968,F,GBR,CO,150,SYS,22739.3,67282.84,6756.17,,,,,,,0.0,0.0,,0,invalid_ssn_non_us
1000031.585,24WC769567,WC,2776,88,1957,OT,WC,ZE,OT,False,09/05/2021,10/05/2021,08/29/2023,01/26/2024,718396690,01/10/1931,F,USA,KS,317,SYS,22682.19,67048.62,7457.09,37,SLIP,CONCUSS,SHOULDER,02/18/2022,136.0,0.0,0.0,,0,coverage_code
1000032.655,24WC613117,GL,7687,36,1134,OT,WC,,MP,False,12/27/2022,01/04/2023,05/15/2023,,661460993,02/28/1936,F,USA,IN,381,SYS,2528.93,33350.92,9889.33,,,,,,,0.0,0.0,,0,
1000033.205,24WC902325,GL,4395,77,1884,MO,WC,LT,PI,False,01/12/2018,01/21/2018,07/18/2018,,818231802,03/01/1930,F,USA,KS,175,SYS,2619.95,74171.81,5308.25,,,,,,,0.0,0.0,,0,coverage_code
1000034.746,21WC570050,PF,6932,67,3431,MO,WC,,PI,False,06/27/2018,07/21/2018,06/24/2020,,032087848,11/04/1986,F,USA,NH,109,SYS,3284.11,27501.6,6367.46,,,,,,,0.0,0.0,,1,
1000035.325,22WC656329,WC,8434,66,3479,MO,WC,WA,BI,True,05/30/2020,06/13/2020,,,465526816,07/11/1979,F,USA,GA,360,SYS,4561.24,8536.44,4375.58,53,CAUGHT,CONTUS,HIP,07/28/2020,45.0,9238.08,574.82,A,0,coverage_code
1000036.874,24WC543481,AU,1842,37,3459,MO,WC,,OT,True,09/10/2023,09/17/2023,,,359726023,10/08/1938,F,USA,WY,378,MAN,1312.69,92908.43,8311.66,,,,,,,0.0,0.0,,0,
1000037.18,23WC899444,WC,6568,45,1025,MO,WC,ZE,CL,True,06/30/2022,07/03/2022,,,765683525,06/06/1944,F,USA,MA,372,MAN,4247.85,5260.88,1658.36,26,FALL,STRAIN,HEAD,11/23/2022,143.0,12031.97,1509.94,A,0,coverage_code
1000038.345,18WC397005,AU,8973,69,3732,MO,WC,,MP,True,08/13/2018,08/14/2018,,,783334743,08/24/1930,F,USA,MO,168,MAN,41667.71,80620.02,813.55,,,,,,,0.0,0.0,,0,no_rre
1000039.042,18WC582087,WC,6130,75,2758,OT,WC,LT,CL,True,09/07/2022,09/17/2022,,08/15/2023,633595929,02/08/1957,F,USA,ND,139,HIS,16975.66,33306.86,1764.51,37,LIFT,BURN,HIP,12/05/2022,79.0,0.0,0.0,,0,coverage_code
1000040.906,20WC468154,AU,3420,31,1421,MO,WC,,PI,False,09/19/2019,10/14/2019,01/29/2020,02/12/2024,476979237,11/19/1987,F,USA,SD,319,SYS,22110.4,30282.04,2819.27,,,,,,,0.0,0.0,,1,
1000041.507,20WC584172,WC,1616,8,2510,MO,WC,WA,CM,True,01/05/2019,01/25/2019,,,811950673,10/21/1955,M,USA,NM,307,SYS,5175.09,89912.68,3500.03,53,LIFT,BURN,SHOULDER,03/06/2019,40.0,5220.67,489.57,P,0,coverage_code
1000042.524,22WC266457,WC,7109,37,2586,MO,GR,,CL,False,08/03/2018,08/29/2018,09/05/2019,09/20/2019,396374129,06/03/1968,M,GBR,TN,350,SYS,29752.06,93800.22,3164.86,39,CAUGHT,CONTUS,HIP,10/21/2018,53.0,0.0,0.0,,0,line_code
1000043.646,21WC633188,WC,1298,47,2265,MO,WC,,CM,True,06/15/2023,06/22/2023,,07/31/2023,808138318,01/22/1992,F,USA,SC,148,SYS,8112.36,83134.51,7733.87,27,MVA,RUPTURE,BACK,11/04/2023,135.0,125633.95,16128.89,A,1,
1000044.534,20WC947903,WC,4179,48,3778,OT,WC,,CM,True,02/28/2021,03/25/2021,,,123456789,06/18/1945,M,USA,ND,336,SYS,38155.84,27279.13,9062.53,36,SLIP,STRAIN,HAND,08/17/2021,145.0,0.0,0.0,,0,no_rre
1000045.93,21WC155843,WC,9225,48,1965,MO,WC,,PI,False,04/26/2018,05/07/2018,04/01/2020,,040377741,12/16/1934,F,USA,CO,127,SYS,27440.21,72723.48,5324.94,48,STRUCK,LACERA,HEAD,07/07/2018,61.0,0.0,0.0,,1,
1000046.794,21WC165858,WC,9190,78,3195,MO,ZE,,OT,True,09/17/2020,10/10/2020,,,247746826,02/17/1951,F,USA,ND,364,MAN,1016.72,87333.14,530.99,39,CAUGHT,SURGERY,BACK,02/08/2021,121.0,106346.12,13521.92,A,0,line_code
1000047.133,20WC672536,WC,3869,89,2903,OT,WC,WA,PI,False,07/07/2019,07/10/2019,11/19/2020,08/25/2020,205065171,07/27/1991,F,USA,WI,336,SYS,43106.93,4780.4,6591.74,17,LIFT,SPRAIN,ANKLE,11/19/2019,132.0,0.0,0.0,,0,coverage_code
1000048.743,21WC455505,WC,9130,90,3037,MO,WC,,CM,True,12/05/2018,12/29/2018,,,123456789,11/10/1940,F,USA,VA,388,SYS,17577.35,4235.52,8713.37,42,CUT,INFLAM,HEAD,02/11/2019,44.0,9090.83,1320.71,A,1,
1000049.849,23WC919264,WC,1570,17,1275,MO,GR,WA,PD,False,01/23/2022,02/05/2022,04/09/2022,,380487274,09/12/1967,F,USA,LA,114,SYS,36783.74,49904.4,3931.18,37,LIFT,SURGERY,HEAD,06/29/2022,144.0,0.0,0.0,,0,coverage_code|line_code
1000050.215,22WC399449,AU,9048,26,1502,MO,WC,,PI,False,12/29/2022,01/01/2023,12/24/2023,,564704758,12/23/1969,M,USA,NC,315,SYS,11836.81,49402.19,3672.88,,,,,,,0.0,0.0,,1,
1000051.467,22WC236074,GL,2412,9,2266,MO,GR,LT,MP,False,11/24/2023,12/08/2023,08/17/2025,02/27/2024,461608477,09/21/1958,M,USA,FL,364,SYS,41569.54,51810.21,3110.83,,,,,,,0.0,0.0,,0,coverage_code|line_code
1000052.162,23WC336422,WC,9502,37,4464,MO,WC,,CL,False,01/29/2021,02/03/2021,11/24/2022,,173769514,10/24/1951,F,USA,OR,103,SYS,2273.09,64145.37,5810.04,06,STRAIN,CONCUSS,ANKLE,03/12/2021,37.0,0.0,0.0,,1,
1000053.29,20WC606404,WC,7654,39,2857,MO,ZE,,PI,True,12/06/2022,12/20/2022,,,321925232,07/05/1981,F,USA,CT,359,SYS,13373.58,24791.89,1058.44,17,SLIP,CONCUSS,ANKLE,03/23/2023,93.0,55932.74,7346.64,A,0,line_code
1000054.19,19WC622469,WC,8649,64,4600,MO,WC,,BI,True,05/30/2022,06/16/2022,,,050074610,11/22/1958,F,USA,AL,355,SYS,44122.79,72750.81,7662.18,42,FALL,INFLAM,BACK,12/08/2022,175.0,7402.09,831.43,A,1,
1000055.129,18WC513037,WC,6556,73,4845,MO,GR,,PI,True,09/17/2023,09/30/2023,,11/04/2023,824618509,09/05/1949,F,GBR,HI,378,HIS,42130.1,59372.47,5122.42,37,BURN,RUPTURE,NECK,01/14/2024,106.0,37793.1,2303.88,P,0,line_code
1000056.584,24WC860557,AU,1436,78,2943,MO,ZE,LT,OT,True,07/21/2020,08/14/2020,,,739806230,04/02/1951,M,USA,NH,140,MAN,10194.58,50181.95,6153.63,,,,,,,0.0,0.0,,0,coverage_code|line_code
1000057.472,24WC871581,AU,2020,92,1565,OT,WC,ZE,PD,True,05/14/2023,05/31/2023,,,546448951,12/22/1954,F,USA,IL,335,SYS,47074.28,98226.03,7734.63,,,,,,,0.0,0.0,,0,coverage_code
1000058.705,23WC839233,WC,6195,62,2428,OT,GR,,PD,False,05/15/2019,06/03/2019,07/25/2020,,354992400,12/03/1939,F,GBR,WV,325,SYS,13556.64,56201.8,2789.05,48,CUT,CONCUSS,HAND,09/03/2019,92.0,0.0,0.0,,0,line_code
1000059.051,22WC336633,GL,4815,7,1410,MO,WC,LT,MP,False,02/16/2019,03/10/2019,04/14/2019,,920628793,05/11/1954,F,USA,WY,383,SYS,36934.33,85033.31,469.25,,,,,,,0.0,0.0,,0,coverage_code
1000060.921,21WC978292,WC,1595,51,4227,OT,WC,LT,CM,True,03/31/2021,04/29/2021,,,344377445,09/16/1993,M,USA,NJ,114,SYS,8124.71,45891.45,2646.92,36,FALL,SPRAIN,HEAD,10/21/2021,175.0,0.0,0.0,,0,coverage_code
1000061.674,19WC284019,GL,7644,55,3110,MO,WC,,CL,False,01/26/2019,02/01/2019,07/03/2020,,268503859,06/10/1938,M,USA,MS,188,SYS,23269.75,15971.68,6892.13,,,,,,,0.0,0.0,,0,no_rre
1000062.888,24WC426084,AU,2924,83,4752,MO,WC,ZE,PI,True,06/16/2020,06/21/2020,,,947639998,04/22/1972,M,USA,ND,190,MAN,5610.44,82877.41,9038.59,,,,,,,0.0,0.0,,0,coverage_code
1000063.202,22WC257131,WC,6376,68,2809,MO,ZE,,CL,False,06/26/2023,06/29/2023,10/27/2024,,526547485,08/22/1947,F,USA,MT,100,HIS,10895.07,7302.95,4294.6,53,LIFT,BURN,BACK,08/15/2023,47.0,0.0,0.0,,0,line_code
1000064.986,21WC133276,WC,7699,24,4149,MO,GR,WA,CL,False,09/18/2022,09/30/2022,11/25/2023,,999999999,02/06/1941,F,USA,WA,390,SYS,37808.97,97849.07,4683.74,53,BURN,INFLAM,HIP,02/04/2023,127.0,0.0,0.0,,0,coverage_code|line_code
1000065.823,19WC583000,WC,3542,36,1772,IO,GR,,BI,False,09/14/2022,10/04/2022,11/19/2022,,609057315,01/08/1952,M,USA,IA,307,SYS,25194.79,28926.35,8176.28,53,CUT,SPRAIN,NECK,01/24/2023,112.0,0.0,0.0,,0,line_code|claim_type_IO
1000066.237,19WC792282,WC,4622,53,2230,MO,WC,ZE,OT,False,12/19/2019,01/09/2020,08/30/2021,,123456789,03/10/1943,F,USA,OH,328,SYS,42877.06,14435.17,4683.95,04,BURN,INFLAM,ANKLE,06/29/2020,172.0,0.0,0.0,,0,coverage_code
1000067.53,21WC354655,WC,4332,43,3648,MO,WC,,BI,True,02/20/2020,02/22/2020,,,895103083,04/16/1994,M,USA,MI,301,SYS,46857.99,96207.76,1261.43,27,REPETIT,LACERA,NECK,05/14/2020,82.0,11460.55,1316.5,A,1,
1000068.262,22WC621433,WC,2616,94,2923,IO,WC,,PD,True,07/05/2021,07/19/2021,,,017349066,05/05/1985,M,USA,MO,331,SYS,27532.13,94346.45,3441.89,27,REPETIT,RUPTURE,WRIST,09/30/2021,73.0,0.0,0.0,,0,claim_type_IO
1000069.733,20WC277487,WC,9955,63,1753,OT,ZE,,OT,False,05/19/2018,06/15/2018,05/29/2020,07/11/2018,863813792,01/07/1934,F,USA,SC,378,SYS,32964.22,1573.18,5368.9,39,FALL,FRACT,HIP,09/23/2018,100.0,0.0,0.0,,0,line_code
1000070.536,20WC117975,WC,8055,23,1438,MO,WC,,PI,True,02/26/2020,03/17/2020,,,407116113,10/08/1988,M,USA,CO,383,HIS,1584.23,40527.83,3833.98,13,FALL,FRACT,SHOULDER,05/07/2020,51.0,47273.25,2814.47,A,1,
1000071.23,24WC825916,GL,8791,35,1190,MO,ZE,,OT,False,05/15/2018,05/21/2018,05/08/2019,09/15/2020,771926526,03/19/1978,M,USA,MO,186,HIS,36987.26,79049.81,6924.17,,,,,,,0.0,0.0,,0,line_code
1000072.078,23WC462659,WC,2601,56,1950,MO,WC,ZE,CM,True,06/13/2022,07/08/2022,,,462633738,07/06/1942,F,USA,SC,131,HIS,3675.33,26797.2,3862.0,27,MVA,INFLAM,FINGER,11/07/2022,122.0,634.09,40.11,A,0,coverage_code
1000073.431,22WC681687,WC,7686,14,1107,MO,WC,ZE,BI,True,08/21/2021,09/18/2021,,,087939168,10/17/1974,M,USA,HI,138,SYS,24656.2,6326.72,4403.3,39,STRUCK,RUPTURE,KNEE,01/18/2022,122.0,39396.66,2391.27,A,0,coverage_code
1000074.007,21WC448354,GL,7225,43,2803,MO,WC,WA,OT,True,07/12/2019,07/22/2019,,,322236525,12/23/1977,F,CAN,MA,335,SYS,18250.78,93206.72,2078.02,,,,,,,0.0,0.0,,0,coverage_code
1000075.997,19WC814827,PF,1440,95,2890,IO,WC,,CM,False,04/08/2021,05/05/2021,07/27/2022,,311314140,07/26/1952,F,USA,RI,374,SYS,46174.79,86963.37,4241.18,,,,,,,0.0,0.0,,0,claim_type_IO
1000076.037,20WC835716,WC,2392,14,4149,MO,ZE,WA,PD,False,11/13/2019,12/04/2019,08/01/2021,,410975433,02/01/1986,M,USA,NC,371,MAN,34383.22,22103.17,3803.78,13,CUT,BURN,SHOULDER,03/31/2020,118.0,0.0,0.0,,0,coverage_code|line_code
1000077.998,21WC209627,WC,7816,11,1475,IO,WC,,PD,False,11/06/2021,11/21/2021,06/07/2023,,449937413,01/26/1939,M,USA,MI,386,SYS,46496.12,74048.95,5208.34,37,MVA,SPRAIN,HIP,04/09/2022,139.0,0.0,0.0,,0,claim_type_IO
1000078.958,19WC936507,WC,4023,24,3623,OT,WC,,BI,True,03/19/2020,04/03/2020,,,211361026,09/06/1955,F,USA,NJ,185,SYS,26385.75,63910.86,6010.01,26,SLIP,CONCUSS,KNEE,07/31/2020,119.0,0.0,0.0,,1,
1000079.173,23WC840282,WC,2388,88,1548,MO,WC,,PD,True,04/25/2019,05/01/2019,,07/04/2021,142746287,11/18/1945,M,USA,NY,123,SYS,42099.26,61941.0,8668.67,04,REPETIT,CONTUS,HAND,09/06/2019,128.0,6136.43,357.55,A,0,no_rre
1000080.796,19WC406278,WC,5504,29,3202,MO,WC,LT,MP,True,07/22/2023,08/09/2023,,,557478881,12/15/1961,M,MEX,WV,331,SYS,43740.49,3223.04,2701.87,47,LIFT,RUPTURE,KNEE,11/07/2023,90.0,37330.53,5080.87,P,0,coverage_code
1000081.166,19WC922974,WC,4391,8,3335,MO,WC,,OT,False,11/21/2019,12/02/2019,10/26/2020,,879661561,07/02/1954,F,USA,FL,316,SYS,7312.17,32209.67,2550.79,47,SLIP,RUPTURE,SHOULDER,05/27/2020,177.0,0.0,0.0,,1,
1000082.375,18WC764406,PF,2525,52,3111,IO,WC,WA,PD,True,02/06/2023,02/22/2023,,03/24/2024,096947512,06/28/1952,M,USA,MT,354,SYS,13426.84,82834.36,3443.78,,,,,,,0.0,0.0,,0,coverage_code|claim_type_IO
1000083.578,22WC993829,WC,6632,89,4122,MO,WC,,CL,True,02/26/2023,02/27/2023,,,001553315,11/10/1967,M,USA,LA,146,SYS,4121.03,66450.88,6524.22,04,SLIP,SURGERY,HAND,07/16/2023,139.0,5406.51,275.35,A,1,
1000084.817,24WC542828,AU,3166,62,1290,MO,WC,,CL,True,02/24/2019,02/28/2019,,,793972182,03/03/1951,M,USA,HI,344,MAN,37413.44,91989.41,6199.15,,,,,,,0.0,0.0,,0,
1000085.217,18WC246814,PF,3018,77,3990,MO,WC,,PD,True,07/27/2019,08/04/2019,,09/10/2022,739784669,11/10/1960,M,USA,NC,124,MAN,2728.46,89791.26,9551.25,,,,,,,0.0,0.0,,1,
1000086.113,21WC769077,GL,2163,69,4640,MO,WC,,PI,False,05/04/2022,06/01/2022,09/04/2023,,782611196,01/09/1932,M,USA,AR,150,HIS,25052.45,41543.2,7047.93,,,,,,,0.0,0.0,,1,
1000087.537,22WC260097,WC,2369,40,1323,OT,WC,,OT,True,08/31/2021,09/13/2021,,,659095082,04/02/1953,M,USA,NV,178,MAN,2751.43,66607.96,6614.72,36,LIFT,FRACT,SHOULDER,10/15/2021,32.0,0.0,0.0,,1,
1000088.523,24WC962460,AU,5248,22,2523,MO,GR,LT,CM,False,01/05/2021,01/29/2021,03/30/2021,,537094309,08/15/1963,F,USA,OR,121,HIS,5145.25,57391.23,7255.51,,,,,,,0.0,0.0,,0,coverage_code|line_code
1000089.228,22WC102693,WC,1201,32,1188,OT,WC,,PI,False,01/04/2020,02/03/2020,04/09/2020,,999999999,12/11/1943,F,USA,OR,364,MAN,45097.05,17934.44,8062.95,04,SLIP,STRAIN,WRIST,05/15/2020,102.0,0.0,0.0,,1,
1000090.086,21WC108356,WC,4288,38,3309,MO,GR,ZE,PI,True,03/16/2023,03/28/2023,,,201948955,03/01/1974,F,USA,OH,388,SYS,47549.51,146.2,6607.31,47,STRUCK,STRAIN,HAND,09/09/2023,165.0,7551.13,485.06,A,0,coverage_code|line_code
1000091.093,19WC986575,WC,7768,91,4668,MO,WC,LT,BI,True,01/27/2019,02/13/2019,,,582087127,04/10/1934,F,USA,MT,341,SYS,22637.89,23361.12,9441.19,36,CUT,STRAIN,SHOULDER,04/11/2019,57.0,3024.95,313.36,A,0,coverage_code
1000092.452,21WC377880,WC,2481,21,4307,OT,WC,LT,CL,False,06/15/2018,06/22/2018,06/22/2019,04/03/2021,123456789,01/13/1935,F,USA,OK,159,SYS,40194.84,13979.3,218.37,47,STRAIN,CONTUS,HAND,11/01/2018,132.0,0.0,0.0,,0,coverage_code
1000093.372,23WC776001,WC,5241,10,1089,MO,WC,WA,MP,False,06/12/2019,06/15/2019,06/18/2020,01/14/2022,588566472,11/14/1942,M,USA,ID,157,SYS,1732.47,61917.65,2533.27,17,REPETIT,INFLAM,HIP,11/14/2019,152.0,0.0,0.0,,0,coverage_code
1000094.061,20WC501620,WC,7869,26,3632,OT,WC,WA,CM,False,03/21/2018,04/03/2018,05/05/2019,,353738232,03/01/1938,F,USA,AK,335,SYS,40432.69,47168.44,3638.59,26,STRAIN,CONTUS,KNEE,07/05/2018,93.0,0.0,0.0,,0,coverage_code
1000095.657,20WC659614,AU,1916,99,4882,MO,WC,,PD,True,12/13/2019,12/19/2019,,,368760463,10/19/1981,M,USA,IL,163,SYS,1898.19,5616.8,6056.46,,,,,,,0.0,0.0,,0,
1000096.478,20WC743966,WC,3138,44,3936,MO,WC,,BI,False,08/29/2019,09/17/2019,03/10/2020,,882471189,07/19/1951,M,USA,MA,120,HIS,47434.68,79184.25,9610.55,06,CAUGHT,CONTUS,HIP,01/16/2020,121.0,0.0,0.0,,1,
1000097.175,20WC869649,AU,5826,17,1727,IO,WC,WA,OT,False,05/23/2022,06/20/2022,02/21/2024,02/26/2024,829793620,08/05/1933,F,USA,KS,144,SYS,41083.09,67002.46,7319.93,,,,,,,0.0,0.0,,0,coverage_code|claim_type_IO
1000098.336,18WC378095,WC,5089,90,1277,MO,WC,,CL,True,01/06/2018,01/08/2018,,,123456789,08/26/1933,M,USA,CA,304,SYS,1003.9,26112.77,1136.78,42,MVA,INFLAM,SHOULDER,02/26/2018,49.0,1725.93,192.21,P,1,
1000099.705,21WC785386,WC,8114,21,1219,MO,WC,,PI,True,08/04/2022,08/27/2022,,,677374873,07/19/1931,F,USA,MS,111,SYS,41194.87,62509.1,4855.25,48,FALL,LACERA,SHOULDER,12/09/2022,104.0,8156.42,502.03,P,0,no_rre
